tempo,temp,h,vazao,vazaoideal,tempideal+
662,57.00148937208561,91.80038459425569,0.08483601919102478,0.084, 57.0
663,57.00148937211443,91.80038459449501,0.08483601919108208,0.084, 57.0
664,57.00148937211502,91.80038459472956,0.08483601919119266,0.084, 57.0
665,57.00148937209375,91.80038459486923,0.08483601919130103,0.084, 57.0
666,57.001489372064036,91.80038459488189,0.08483601919136557,0.084, 57.0
667,57.0014893720394,91.80038459479236,0.08483601919137142,0.084, 57.0
668,57.001489372028246,91.80038459465942,0.08483601919133005,0.084, 57.0
669,57.00148937203174,91.80038459454495,0.08483601919126864,0.084, 57.0
670,57.0014893720451,91.80038459448913,0.08483601919121574,0.084, 57.0
671,57.0014893720608,91.80038459449995,0.08483601919118995,0.084, 57.0
672,57.001489372072236,91.80038459455754,0.08483601919119493,0.084, 57.0
673,57.0014893720759,91.80038459462862,0.08483601919122155,0.084, 57.0
674,57.00148937207223,91.80038459468236,0.0848360191912544,0.084, 57.0
675,57.00148937206435,91.80038459470191,0.08483601919127924,0.084, 57.0
676,57.001489372056305,91.80038459468767,0.08483601919128826,0.084, 57.0
677,57.00148937205129,91.8003845946531,0.08483601919128168,0.084, 57.0
678,57.001489372050514,91.8003845946164,0.08483601919126571,0.084, 57.0
679,57.00148937205329,91.80038459459234,0.08483601919124875,0.084, 57.0
680,57.001489372057726,91.80038459458731,0.08483601919123764,0.084, 57.0
681,57.00148937206169,91.80038459459881,0.0848360191912353,0.084, 57.0
682,57.00148937206379,91.8003845946185,0.08483601919124062,0.084, 57.0
683,57.001489372063574,91.80038459463685,0.08483601919124972,0.084, 57.0
684,57.00148937206172,91.80038459464699,0.0848360191912582,0.084, 57.0
685,57.00148937205932,91.80038459464689,0.08483601919126288,0.084, 57.0
686,57.00148937205744,91.80038459463898,0.08483601919126284,0.084, 57.0
687,57.00148937205668,91.80038459462821,0.08483601919125919,0.084, 57.0
688,57.00148937205709,91.80038459461942,0.0848360191912542,0.084, 57.0
689,57.00148937205822,91.80038459461556,0.08483601919125015,0.084, 57.0
690,57.001489372059474,91.80038459461699,0.08483601919124838,0.084, 57.0
691,57.00148937206031,91.8003845946219,0.08483601919124903,0.084, 57.0
692,57.00148937206053,91.80038459462756,0.08483601919125129,0.084, 57.0
693,57.001489372060185,91.8003845946316,0.08483601919125391,0.084, 57.0
694,57.00148937205953,91.80038459463282,0.08483601919125577,0.084, 57.0
695,57.001489372058906,91.80038459463141,0.08483601919125633,0.084, 57.0
696,57.00148937205855,91.80038459462855,0.08483601919125569,0.084, 57.0
697,57.00148937205852,91.8003845946257,0.08483601919125437,0.084, 57.0
698,57.001489372058764,91.80038459462394,0.08483601919125304,0.084, 57.0
699,57.001489372059126,91.80038459462371,0.08483601919125223,0.084, 57.0
700,57.00148937205943,91.80038459462473,0.08483601919125212,0.084, 57.0
701,57.00148937205957,91.80038459462634,0.08483601919125261,0.084, 57.0
702,57.001489372059524,91.80038459462773,0.08483601919125335,0.084, 57.0
703,57.001489372059396,91.80038459462841,0.08483601919125398,0.084, 57.0
704,57.00148937205921,91.80038459462834,0.08483601919125432,0.084, 57.0
705,57.00148937205907,91.8003845946277,0.08483601919125426,0.084, 57.0
706,57.001489372059005,91.80038459462689,0.08483601919125397,0.084, 57.0
707,57.001489372059055,91.80038459462622,0.0848360191912536,0.084, 57.0
708,57.00148937205913,91.80038459462597,0.08483601919125329,0.084, 57.0
709,57.00148937205923,91.8003845946261,0.08483601919125318,0.084, 57.0
710,57.00148937205929,91.80038459462648,0.08483601919125323,0.084, 57.0
711,57.001489372059304,91.80038459462689,0.08483601919125341,0.084, 57.0
712,57.001489372059275,91.80038459462718,0.0848360191912536,0.084, 57.0
713,57.00148937205922,91.80038459462726,0.08483601919125373,0.084, 57.0
714,57.001489372059176,91.80038459462713,0.08483601919125378,0.084, 57.0
715,57.001489372059154,91.8003845946269,0.08483601919125372,0.084, 57.0
716,57.00148937205916,91.80038459462669,0.0848360191912536,0.084, 57.0
717,57.00148937205917,91.80038459462659,0.0848360191912535,0.084, 57.0
718,57.00148937205921,91.80038459462659,0.08483601919125346,0.084, 57.0
719,57.00148937205923,91.80038459462669,0.08483601919125346,0.084, 57.0
720,57.00148937205924,91.80038459462683,0.0848360191912535,0.084, 57.0
721,57.00148937205923,91.80038459462695,0.08483601919125357,0.084, 57.0
722,57.001489372059226,91.80038459462699,0.08483601919125362,0.084, 57.0
723,57.00148937205919,91.80038459462698,0.08483601919125364,0.084, 57.0
724,57.00148937205919,91.80038459462689,0.08483601919125364,0.084, 57.0
725,57.0014893720592,91.8003845946268,0.0848360191912536,0.084, 57.0
726,57.00148937205921,91.80038459462676,0.08483601919125355,0.084, 57.0
727,57.00148937205921,91.80038459462678,0.08483601919125354,0.084, 57.0
